file,events,duration,parts
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (45).mid,631,142.5,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (46).mid,924,191.58333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (47).mid,787,96.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (48).mid,696,146.41666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (49).mid,569,127.66666666666667,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (5).mid,407,142.33333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (50).mid,1192,262.5833333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (51).mid,1496,341.3333333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (52).mid,867,187.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (53).mid,419,108.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (54).mid,546,132.58333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (55).mid,586,172.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (56).mid,417,136.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (57).mid,592,198.66666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (58).mid,472,110.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (59).mid,779,233.16666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (6).mid,391,104.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (60).mid,542,158.91666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (61).mid,694,180.41666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (62).mid,864,224.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (63).mid,854,216.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (64).mid,736,211.58333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (65).mid,360,128.5,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (66).mid,478,180.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (67).mid,593,132.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (68).mid,978,221.83333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (69).mid,669,180.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (7).mid,781,237.16666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (70).mid,1104,242.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (71).mid,598,136.5,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (72).mid,1034,235.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (73).mid,792,224.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (74).mid,875,196.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (75).mid,798,136.5,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (76).mid,988,294.0833333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (77).mid,987,294.0833333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (78).mid,942,383.75,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (79).mid,915,371.8333333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (8).mid,1508,415.6666666666667,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (80).mid,417,136.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (81).mid,696,146.41666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (82).mid,857,376.8333333333333,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (83).mid,824,158.66666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (84).mid,824,158.66666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (85).mid,1052,237.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (86).mid,647,176.08333333333334,1
